package;algorithm;time.score;RMSE.score;UT;Docs
AMORE;ADAPTgd;10;34;1;3
;ADAPTgdwm;17;25;;
;BATCHgd;39;40;;
;BATCHgdwm;40;39;;
ANN2;adam;16;33;2;3
;rmsprop;14;28;;
;sgd;12;41;;
automl;trainwgrad_adam;50;18;1;3
;trainwgrad_RMSprop;47;26;;
;trainwpso;57;42;;
brnn;Gauss-Newton;8;13;2;4
CaDENCE;optim(BFGS);46;10;2;3
;pso_psoptim;54;54;;
;Rprop;56;51;;
caret;avNNet_nnet_optim(BFGS);9;22;2;3
deepdive;adam;32;45;2;3
;gradientDescent;52;58;;
;momentum;53;56;;
;rmsProp;34;53;;
deepnet;BP;23;18;1;3
elmNNRcpp;ELM;1;59;2;3
ELMR;ELM;2;60;2;3
EnsembleBase;nnet_optim(BFGS);5;12;1;1
h2o;first-order;51;11;2;2
keras;adadelta;60;47;2;0
;adagrad;58;36;;
;adam;42;35;;
;adamax;48;23;;
;nadam;44;36;;
;rmsprop;37;52;;
;sgd;48;43;;
MachineShop;nnet_optim(BFGS);6;4;1;3
minpack.lm;Levenberg-Marquardt;13;24;1;3.5
monmlp;optimx(BFGS);26;9;2;3.5
;optimx(Nelder-Mead);32;46;;
neuralnet;backprop;37;48;1;3
;rprop-;21;21;;
;rprop+;18;20;;
;sag;41;38;;
;slr;31;30;;
nlsr;NashLM;18;1;1;4
nnet;optim (BFGS);3;3;1;3
qrnn;nlm();28;15;2;3
radiant.model;nnet_optim(BFGS);11;7;2;2
rminer;nnet_optim(BFGS);14;2;2;3.5
RSNNS;BackpropBatch;43;49;2;3
;BackpropChunk;26;29;;
;BackpropMomentum;25;30;;
;BackpropWeightDecay;29;32;;
;Quickprop;45;57;;
;Rprop;24;16;;
;SCG;30;17;;
;Std_Backpropagation;22;27;;
snnR;SemiSmoothNewton;7;49;2;2
traineR;nnet_optim(BFGS);4;6;1;2.5
validann;optim(BFGS);35;4;1;4
;optim(CG);59;8;;
;optim(L-BFGS-B);36;14;;
;optim(Nelder-Mead);55;44;;
;optim(SANN);20;55;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
