No;input;maxit;lr;RMSEmed.score;RMSEd51.score;MAE.score;WAE.score
1;x & y;1000;0.01;24;8;26;19
2;x & y;1000;0.01;22;28;17;26
3;x & y;10000;0.1;37;24;42;31
4;x & y;10000;0.1;33;14;36;27
5;x & y;1000;0.01;27;26;28;23
6;x & y;1000;0.01;26;33;27;22
7;x & y;1000;0.01;36;20;35;28
8;x & y;1000;0.01;20;35;16;19
9;x & y;1000;0.01;31;50;29;38
10;x & y;1000;-;40;49;40;37
11;x & y;200;-;11;9;12;11
12;x & y;200;-;28;48;23;39
13;x & y;1000;-;56;56;54;56
14;x & y;1000;0.01;54;60;52;58
15;x & y;200;-;13;30;14;12
16;x & y;10000;0.4;41;1;37;44
17;x & y;10000;0.8;57;2;57;53
18;x & y;1000;0.8;52;3;53;51
19;x & y;1000;0.8;45;4;47;50
20;x & y;1000;0.8;18;38;24;17
21;x & y;-;-;59;55;59;59
22;fmla & data;-;-;60;54;60;60
23;x & y;200;-;15;33;15;15
24;"""y"" & data";10000;0.01;7;7;8;8
25;x & y;10000;0.1;48;27;51;41
26;x & y;10000;0.1;42;51;41;33
27;x & y;10000;0.1;28;44;30;25
28;x & y;10000;0.1;16;19;20;16
29;x & y;10000;0.1;38;58;39;40
30;x & y;10000;0.1;54;57;55;54
31;x & y;10000;0.1;44;47;43;43
32;fmla & data;200;-;9;20;10;7
33;full fmla & data;200;-;18;5;19;14
34;x & y;200;-;10;17;9;10
35;x & y;10000;-;46;46;43;47
36;fmla & data;100000;0.001;50;11;48;45
37;fmla & data;100000;-;21;41;22;18
38;fmla & data;100000;-;23;40;21;24
39;fmla & data;100000;-;50;59;46;52
40;fmla & data;100000;-;38;37;38;46
41;full fmla & data;200;-;3;16;3;6
42;x & y;200;-;2;17;2;3
43;x & y;200;-;14;22;7;35
44;"""y"" & data";200;-;8;32;11;9
45;fmla & data;200;-;1;6;1;1
46;x & y;10000;0.1;47;25;50;49
47;x & y;1000;-;34;41;32;34
48;x & y;1000;-;35;38;34;30
49;x & y;1000;-;30;43;33;32
50;x & y;10000;-;58;36;58;57
51;x & y;1000;-;24;51;25;29
52;x & y;1000;-;16;22;18;19
53;x & y;1000;0.1;32;30;31;36
54;x & y;200;-;48;13;49;47
55;fmla & data;200;-;5;15;6;2
56;x & y;200;-;4;11;4;5
57;x & y;1000;-;6;10;5;4
58;x & y;200;-;12;29;13;12
59;x & y;10000;-;43;45;45;41
60;x & y;1000;-;53;53;56;55
